question,choices,answer
Sarah 's dress was very loose . She preferred that . She did n't like showing off her curves . What type of clothes would she not wear ?,close fitting|form fitting|compact|faithful|discreet,close fitting
The cashier said if you want to buy food you have to do what ?,need to eat|spend money|drive your car .|paying|hunger,spend money
Where are you likely to find a person called Cinderella ?,space shuttle|hotel|hospital|street corner|fairy tale,fairy tale
Those who cut themselves despite being warned that an object is sharp could be called what ?,unobservant|facecious|complimentary|inelegant|inaccurate,unobservant
What do you do when you have lunch ?,get out what i am going to eat with .|get food|eat food|stop working|find food,eat food
James turned on his computer and the monitor lit on the room . What might his body do as he stands there ?,see a ghost|become sensible|make decisions|crash|cast shadow,cast shadow
A court case with a tough judging might result in what ?,being judged|responsibility|go to jail|feeling guilty|killing,go to jail
"People rushed down the aisles in confusion as someone shouted fire , what were they running out of ?",opera|mind|war|quandry|breath,opera
Where do you eat most of your food ?,in a bowl|home|freezer|kitchen|store,home
"The archaeologist was seeing artifacts that made no sense , so what did he do ?",angry|thinking|painful memories|consider the options|learning,thinking
"She was jogging faster and faster , pushing herself , what was she looking to improve ?",fitness|getting in shape|sweating|wholeness|fatigue,fitness
A card slot for casino member points adorns each of what one-appendage devices ?,machine|automated teller|atm machine|telephone|slot machine,slot machine
"There was a list of employees that were n't getting the job done , they were attending meeting to help them with their what ?",result|sharing information|stuff|fall asleep|understanding,understanding
What could customers do after you serve customers ?,clean hands|smile|scream|polite|make money,smile
If you need to store old clothes and want to keep moths away you can put them in what large rectangular storage container ?,trunk|basement|trash|trash|box,trunk
What can you do in front of a tv if you have curiosity about what is being displayed on the tv ?,search the web|go somewhere|read book|see favorite show|analyse,see favorite show
"He wanted a condominium near the Pacific ocean , where should he buy one ?",washington|florida|community|michigan|complex,washington
"Mary offered to let James sleep on her hide sofa bed , but he thought it was uncomfortable . Where might he have decided to stay ?",hotel|apartment|couch|guest room|house,hotel
"She preferred the light blanket , what did she think of the older blanket ?",empty|calorific|crucial|cumbersome|forceful,cumbersome
If you are losing when competing how may you feel while admiring the opponents score ?,anger|wins|jealousy|see work|hatred,jealousy
When two people are married what would they do to have children ?,work together|foster child|make love|agree with each other|shake hands,make love
Why is a member of the priesthood in a new church advised by friends to start getting in shape ?,blue 32|losing weight|feel better|pain|exercise,feel better
To become great at fiddling you need lots of ?,knowledge of music|skill|candy|dexterity|practice,practice
Where do you get clothes in a shopping bag ?,retail store|grocery store|pharmacy|supermarket|restaurant,retail store
"It was a rowdy group , he even smashed his guitar at the end of the what ?",nil|rock band|concert|toy store|music room,concert
"If something is occurring at an altar , what might the occasion be ?",praying|temple|church services|ceremony|sanctuary,ceremony
Where is a drug dealer convicted of a felony likely to go ?,prison|nightclub|jail|sell drugs|street corner,prison
"He was a gentle man , but due to working out , what were his muscles like ?",harsh|fur|rough|hard|mean,hard
where do people go to view famous pictures ?,window|art show|trunk|newspaper|books,art show
What do gentleman do when they need to talk ?,men 's room|meeting|meditation center|church|europe,meeting
What would need oil to be used ?,ground|human body|repair shop|combustion engines|service station,combustion engines
What sense does jumping rope give you ?,being happy|sense of smell|become tired|sweating|sense of rhythm,sense of rhythm
"Many politicians like to talk about the small time farmer , but almost all farms are actually what ?",farm land|financial|business man|industrial|city dweller,industrial
What can you build for your puppy so he can sleep comfortably outside ?,dog house|home|kennel|table|tree,dog house
"John looked for beavers but could n't find any , because he lived where ?",america|australia|countryside|dictionary|woodlands,australia
Where are you if you 're drinking beer and watching men hit a black and white ball with their feet ?,shelf|soccer game|refrigerator|can|on a yacht,soccer game
Where can a vegetarian restaurant be found ?,san francisco|anywhere|downtown|most cities|in the country,anywhere
"The wind was heading one way , and then headed another way , what happened ?",change direction|wave wheat|wind gust|dry hair|blowing hard,change direction
Where would you find guns and people in uniform ?,military base|roadblock|stadium|sporting goods store|school,military base
"The equipment manager was in charge of the sports equipment , when the team arrived for an away he took it off the bus and brought it where ?",school|sears|fair|arena|mall,arena
What might have a ground floor ?,closet|desk|tile|house|table,house
Where could a bee get stuck easily ?,soft drink|in traffic|countryside|swarm|field of flowers,soft drink
Dust accumulates where ?,ceiling|library|surface of earth|most buildings|desktop,most buildings
"Dave wants to build a new ranch house , but he 's worried about mudslides , fires , earthquakes , and restrictive zoning codes . Where might he live ?",montana|west|california|outback|texas,california
"After being stopping being married to someone who takes everything , what are you likely to experience ?",fights|pleasure|happiness|bankruptcy|detachment,bankruptcy
What is the biological purpose of eating breakfast ?,halitosis|fullness|overeating|gas|gain energy,gain energy
"The farmer was scooping out eyes to plant in the ground , what was he scooping them from ?",elephant|person 's head|potato|faces|mammal,potato
